Scientific Name,Habitat Comments
Acris crepitans,"This species inhabits the edges of sunny marshes, marshy ponds, and small slow-moving streams in open country.  It may periodically range into adjacent nonwetland habitats in some regions.  Eggs and larvae develop in the shallow water of ponds, marshes, ditches, slow streams, springs, or rain pools. Hibernation sites are underground on land near water; may hibernate communally (e.g., McCallum and Trauth 2003)."
Acris gryllus,"Grassy margins of swamps, marshes, lakes, ponds, streams, ditches, bogs, and nearby temporary pools, including such habitats in openly wooded areas that do not produce excessive shade. Eggs and larvae develop in shallow water."
Ambystoma bishopi,"The following information pertains to the <i>Ambystoma cingulatum</i>/<i>bishopi </i>complex as a whole. Post-larval individuals inhabit mesic longleaf pine (<i>Pinus palustris</i>)-wiregrass (<i>Aristida stricta</i>) flatwoods and savannas. The terrestrial habitat is best described as a topographically flat or slightly rolling wiregrass-dominated grassland having little to no midstory and an open overstory of widely scattered longleaf pine. Low-growing shrubs, such as saw palmetto (<i>Serenoa repens</i>), gallberry (<i>Ilex glabra</i>) and blueberries (<i>Vaccinium </i>spp.), co-exist with grasses and forbs in the ground cover. Ground cover plant diversity is usually very high. The underlying soil is typically poorly drained sand that becomes seasonally inundated.<br /><br />Slash pine flatwoods is often cited as the preferred terrestrial habitat of the flatwoods salamander (e.g., Conant and Collins 1991). This may be the result of an error made by Martof (1968) in which he referred to longleaf pine as slash pine (<i>Pinus elliottii</i>). In addition, slash pine now dominates or co-occurs with longleaf pine in many pine flatwoods communities as a result of fire suppression and preferential harvest of longleaf pine (Avers and Bracy 1975). Historically, however, fire-tolerant longleaf pine dominated the flatwoods, whereas slash pine was confined principally to wetlands (Harper 1914, Avers and Bracy 1975). Post-larval individuals are fossorial (live underground) and occupy burrows (Goin 1950, Neill 1951, Mount 1975, Ashton 1992). Presumably, they remain underground during the lightning-season (May through September). Adults are rarely encountered under cover objects at or near breeding sites (J. Palis, pers. obs.).<br /><br />Breeding occurs in acidic (pH 3.6-5.6 (Palis, unpubl. data)), tannin-stained ephemeral wetlands (swamps or graminoid-dominated depressions) that range in size from 0.02 to 9.5 ha, and are usually not more than 0.5 m deep (Palis, unpubl. data). The overstory is typically dominated by pond cypress (<i>Taxodium ascendens</i>), blackgum (<i>Nyssa sylvatica</i> var. <i>biflora</i>) and slash pine, but can also include red maple (<i>Acer rubrum</i>), sweetgum (<i>Liquidambar styraciflua</i>), sweetbay (<i>Magnolia virginiana</i>), and loblolly bay (<i>Gordonia lasianthus</i>). Canopy coverage ranges from near zero to almost 100% (Palis, unpubl. data). The midstory, which is often very dense, is most often composed of young of the aforementioned species, myrtle-leaved holly (<i>Ilex myrtifolia</i>), Chapman's St. John's-wort (<i>Hypericum chapmanii</i>), sandweed (<i>Hypericum fasciculatum</i>), titi (<i>Cyrilla racemiflora</i>), storax (<i>Styrax americana</i>), popash (<i>Fraxinus caroliniana</i>), sweet pepperbush (<i>Clethra alnifolia</i>), fetterbush (<i>Lyonia lucida</i>), vine-wicky (<i>Pieris phillyreifolia</i>), and bamboo-vine (<i>Smilax laurifolia</i>). Depending on closure of the canopy and midstory, the herbaceous groundcover of breeding sites can range from about 5% to nearly 100% (Palis, unpubl. data). The groundcover is dominated by graminaceous species, including beakrushes (<i>Rhynchospora </i>spp.), sedges (<i>Carex </i>spp.), panic grasses (<i>Panicum </i>spp.), bluestems (<i>Andropogon </i>spp.), jointtails (<i>Manisurus </i>spp.), three-awned grass (<i>Aristida affinis</i>), plumegrass (<i>Erianthus giganteus</i>), nutrush (<i>Sclera baldwinii</i>) and yellow-eyed grasses (<i>Xyris </i>spp.). The floor of breeding sites is riddled with the burrows of crayfish (genus <i>Procambarus</i>). Breeding sites are typically encircled by a wiregrass-dominated graminaceous ecotone. Breeding sites can include roadside ditches (Anderson and Williamson 1976; Palis, pers. obs.) and borrow pits (D. Stevenson, pers. comm.). Breeding sites often harbor fishes, the most typical species include pygmy sunfishes (<i>Elassoma </i>spp.), mosquitofish (<i>Gambusia holbrookii</i>), and banded sunfish (<i>Enneacanthus obesus</i>) (Palis, unpubl. data). Favorable breeding habitat lacks large predatory fishes.<br /><br />Before breeding sites fill with water, eggs are deposited singly or in small groups on the ground beneath leaf litter, under logs and <i>Sphagnum </i>mats, at the base of grasses, shrubs or trees, or at the entrance to crayfish burrows (Anderson and Williamson 1976). In wetlands that fill incrementally, eggs are deposited amid graminaceous vegetation at the edge (J. Palis, pers. obs.). Egg deposition in shallow water also has been reported (Ashton 1992). Larvae hide amid inundated graminaceous vegetation by day, but will enter the water column at night (J. Palis, pers. obs.)."
Ambystoma cingulatum,"The following information pertains to the <i>Ambystoma cingulatum</i>/<i>bishopi </i>complex as a whole. Post-larval individuals inhabit mesic longleaf pine (<i>Pinus palustris</i>)-wiregrass (<i>Aristida stricta</i>) flatwoods and savannas. The terrestrial habitat is best described as a topographically flat or slightly rolling wiregrass-dominated grassland having little to no midstory and an open overstory of widely scattered longleaf pine. Low-growing shrubs, such as saw palmetto (<i>Serenoa repens</i>), gallberry (<i>Ilex glabra</i>) and blueberries (<i>Vaccinium </i>spp.), co-exist with grasses and forbs in the groundcover. Groundcover plant diversity is usually very high. The underlying soil is typically poorly drained sand that becomes seasonally inundated.<br /><br />Slash pine flatwoods is often cited as the preferred terrestrial habitat of the flatwoods salamander (e.g., Conant and Collins 1991). This may be the result of an error made by Martof (1968) in which he referred to longleaf pine as slash pine (<i>Pinus elliottii</i>). In addition, slash pine now dominates or co-occurs with longleaf pine in many pine flatwoods communities as a result of fire suppression and preferential harvest of longleaf pine (Avers and Bracy 1975). Historically, however, fire-tolerant longleaf pine dominated the flatwoods, whereas slash pine was confined principally to wetlands (Harper 1914, Avers and Bracy 1975). Post-larval individuals are fossorial (live underground) and occupy burrows (Goin 1950, Neill 1951, Mount 1975, Ashton 1992). Presumably, they remain underground during the lightning-season (May through September). Adults are rarely encountered under cover objects at or near breeding sites (J. Palis, pers. obs.).<br /><br />Breeding occurs in acidic (pH 3.6-5.6 (Palis, unpubl. data)), tannin-stained ephemeral wetlands (swamps or graminoid-dominated depressions) that range in size from 0.02 to 9.5 ha, and are usually not more than 0.5 m deep (Palis, unpubl. data). The overstory is typically dominated by pond cypress (<i>Taxodium ascendens</i>), blackgum (<i>Nyssa sylvatica</i> var. <i>biflora</i>) and slash pine, but can also include red maple (<i>Acer rubrum</i>), sweetgum (<i>Liquidambar styraciflua</i>), sweetbay (<i>Magnolia virginiana</i>), and loblolly bay (<i>Gordonia lasianthus</i>). Canopy coverage ranges from near zero to almost 100% (Palis, unpubl. data). The midstory, which is often very dense, is most often composed of young of the aforementioned species, myrtle-leaved holly (<i>Ilex myrtifolia</i>), Chapman's St. John's-wort (<i>Hypericum chapmanii</i>), sandweed (<i>Hypericum fasciculatum</i>), titi (<i>Cyrilla racemiflora</i>), storax (<i>Styrax americana</i>), popash (<i>Fraxinus caroliniana</i>), sweet pepperbush (<i>Clethra alnifolia</i>), fetterbush (<i>Lyonia lucida</i>), vine-wicky (<i>Pieris phillyreifolia</i>), and bamboo-vine (<i>Smilax laurifolia</i>). Depending on closure of the canopy and midstory, the herbaceous groundcover of breeding sites can range from about 5% to nearly 100% (Palis, unpubl. data). The groundcover is dominated by graminaceous species, including beakrushes (<i>Rhynchospora </i>spp.), sedges (<i>Carex </i>spp.), panic grasses (<i>Panicum </i>spp.), bluestems (<i>Andropogon </i>spp.), jointtails (<i>Manisurus </i>spp.), three-awned grass (<i>Aristida affinis</i>), plumegrass (<i>Erianthus giganteus</i>), nutrush (<i>Sclera baldwinii</i>) and yellow-eyed grasses (<i>Xyris </i>spp.). The floor of breeding sites is riddled with the burrows of crayfish (genus <i>Procambarus</i>). Breeding sites are typically encircled by a wiregrass-dominated graminaceous ecotone. Breeding sites can include roadside ditches (Anderson and Williamson 1976; Palis, pers. obs.) and borrow pits (D. Stevenson, pers. comm.). Breeding sites often harbor fishes, the most typical species include pygmy sunfishes (<i>Elassoma </i>spp.), mosquitofish (<i>Gambusia holbrookii</i>), and banded sunfish (<i>Enneacanthus obesus</i>) (Palis, unpubl. data). Favorable breeding habitat lacks large predatory fishes.<br /><br />Before breeding sites fill with water, eggs are deposited singly or in small groups on the ground beneath leaf litter, under logs and <i>Sphagnum </i>mats, at the base of grasses, shrubs or trees, or at the entrance to crayfish burrows (Anderson and Williamson 1976). In wetlands that fill incrementally, eggs are deposited amid graminaceous vegetation at the edge (J. Palis, pers. obs.). Egg deposition in shallow water also has been reported (Ashton 1992). Larvae hide amid inundated graminaceous vegetation by day, but will enter the water column at night (J. Palis, pers. obs.)."
Ambystoma maculatum,"Spotted salamanders inhabit hardwood and mixed forests, in the vicinity of swamps and vernal pools. They are usually underground or under soil surface objects except during the breeding period. Logs, stumps, and mammal burrows provide important cover (Faccio 2003). In New York, distribution apparently is influenced by soil pH (Wyman 1988).<br><br>Eggs usually are attached to submerged stems or other objects in vernal pools and semipermanent or permanent ponds in or adjacent to forest. In many areas, the species breeds mainly in ponds inaccessible to predatory fishes; however on the Atlantic Coastal Plain of the southeastern United States, spotted salamanders breed in sloughs or backwater lowland areas along streams that frequently contain or are easily colonized by predatory fishes that opportunistically feed on amphibian larvae (Semlitsch 1988). Eggs may be laid in ponds when they are ice-covered if salamanders already are present in the pond (States et al. 1988)."
Ambystoma opacum,"Marbled salamanders live in various wooded habitats, near swamps or vernal pools. They are more tolerant of dry habitats than are most salamanders and can be found on rocky bluffs and slopes and wooded sand dunes. Adults are entirely terrestrial and spend most of their time under surface objects or underground. Eggs are laid in forest depressions such as vernal pool basins and sometimes at the edges of permanent ponds, swamps, and slow-moving streams, in sites that lack standing water in late summer or early fall but are inundated by fall rains and generally hold standing water through winter and into at least early summer of the next year. Oviposition sites typically are in mineral soil beneath protective cover of leaf litter, logs, detritus, or rocks."
Ambystoma talpoideum,"Usually near breeding ponds--in pine flatwoods, floodplains, and bottomland hardwood forests. In South Carolina, avoided clearcuts and open fields, occurred in all types of forest (Semlitsch 1981). Terrestrial adults live in underground burrows; sometimes found under logs or other objects in damp places. Breeds in shallow ponds and flooded depressions that are free of fishes and that often have abundant emergent and/or submerged vegetation. Eggs are attached to stems or sticks or to the substrate. Reproductive success positively correlated with duration of standing water in breeding pond, but not with number of breeding females or number of eggs laid (Semlitsch 1987)."
Ambystoma tigrinum,"Tiger salamanders can be found in virtually any habitat, providing there is a terrestrial substrate suitable for burrowing and a body of water nearby suitable for breeding. Terrestrial adults usually are underground, in self-made burrows or in those made by rodents, shrews, or other animals. In New York, adults on land used wooded areas and avoided grassy areas (Madison and Farrand 1998). At high elevations in the Rocky Mountains, metamorphosed adults commonly occur in ponds throughout the summer. Breeding occurs in a wide range of environments, ranging from clear mountain ponds to temporary, manure-polluted pools in the lowlands, generally in sites where predatory fishes are absent. In the mountains of western Colorado, tiger salamanders are associated with ponds that have silty bottoms, low alkalinity, and no fishes (Geraghty and Willey 1992). In the southeastern U.S., this species breeds in open, grassy, usually temporary, ponds (Jensen et al. 2008). Eggs are attached to submerged objects or pond bottoms."
Amphiuma means,"Swamps, bayous, margins of muddy sloughs, cypress heads, drainage ditches, sluggish streams, wet meadows, muddy lakes; soft substrate for burrowing or thick aquatic vegetation important for shelter. Often uses crayfish burrows. May leave water, especially on rainy nights; sometimes found under objects at water's edge. Eggs have been found under objects in damp places near the water's edge and in chambers in sediments where the water has receded. Eggs appaear to be specialized for development in terrestrial nest chambers (Gunzburger 2003)."
Amphiuma pholeter,"Deep, organic, liquid muck in alluvial swamps of low-gradient 2nd or 3rd order streams, spring runs, and occasionally floodplain swampy terrace streams."
